"Sample","Fly_Line","Titre","Initial_V","Time","Time_group","log_IU_fly","log_MNE","log_WOL_MNE","Replicate","TCID","IU_mL","TCID_status","MNE","SE_MNE","SE_Percent","MNE_status","IU_fly","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Wol_status"
70,"Wol",1e+06,50,120,"2",NA,-3.02379762365236,NA,1,NA,NA,"ND",0.0009466782,0.00011,11.9,NA,NA,NA,NA,NA,NA,"M"
71,"Wol",1e+06,50,120,"2",4.39322094110033,-0.106729152969982,0.104249434079643,2,4.5,436400,NA,0.7821154175,0.09895,12.65,NA,24729.819192,"71_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",1.2713040604,"0.13196","10.38",NA
72,"Wol",1e+06,50,120,"2",5.29316475756192,-0.867513618281065,0.756058758074092,3,5.4,3466000,NA,0.1356707987,0.01555,11.46,NA,196410.52548,"72_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",5.7024141814,"0.38464","6.75",NA
76,"Wol",1e+06,50,130,"3",NA,-2.70426605306219,NA,1,NA,NA,"ND",0.0019757589,6e-05,2.91,NA,NA,NA,NA,NA,NA,"M"
77,"Wol",1e+06,50,130,"3",4.89321528558526,0.0158964442555891,0.729601573798284,2,5,1380000,NA,1.0372810509,0.07925,7.64,NA,78201.5364,"77_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",5.3653934383,"0.42874","7.99",NA
78,"Wol",1e+06,50,130,"3",6.89321528558526,0.651748711692103,NA,3,7,1.38e+08,NA,4.4848581525,0.45015,10.04,NA,7820153.64,NA,NA,NA,NA,"ND"
82,"Wol",1e+06,50,144,"3",3.49322485426857,-1.76101604589857,NA,1,3.6,54940,NA,0.0173373994,0.00129,7.42,NA,3113.3278332,NA,NA,NA,NA,"M"
83,"Wol",1e+06,50,144,"3",7.39322094110033,0.911624245067274,0.329642235830879,2,7.5,436400000,NA,8.1587616355,0.60542,7.42,NA,24729819.192,"83_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",2.1362015991,"0.33514","15.69",NA
84,"Wol",1e+06,50,144,"3",2.49322485426857,-1.86513515702296,NA,3,2.6,5494,NA,0.0136415853,0.00104,7.64,NA,311.33278332,NA,NA,NA,NA,"M"
88,"Wol",1e+06,50,154,"3",2.39322094110033,-1.43420756566531,0.667236522391492,1,2.5,4364,NA,0.0367953073,0.00369,10.04,NA,247.29819192,"88_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv",4.6476832515,"0.63471","13.66",NA
89,"Wol",1e+06,50,154,"3",5.89321528558526,0.396670308427439,0.148618151902524,2,6,13800000,NA,2.4927016917,0.23511,9.43,NA,782015.364,"89_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv",1.4080502431,"0.13704","9.73",NA
90,"Wol",1e+06,50,154,"3",6.14321075757501,0.782809900720485,0.714273059310265,3,6.25,24540000,NA,6.0647080722,1.06737,17.6,NA,1390627.3212,"90_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",5.1793237559,"0.60682","11.72",NA
94,"Wol",1e+06,50,168,"3",2.49322485426857,-1.77886196996938,0.294036046078448,1,2.6,5494,NA,0.0166394141,0.00041,2.47,NA,311.33278332,"94_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv",1.9680496294,"0.06175","3.14",NA
95,"Wol",1e+06,50,168,"3",7.04846328443622,1.29842439983998,NA,2,7.1552,197300000,NA,19.8803671119,0.75943,3.82,NA,11180552.994,NA,NA,NA,NA,"ND"
96,"Wol",1e+06,50,168,"3",4.76827654897696,0.311220138915834,0.427915154378838,3,4.875,1035000,NA,2.0474822191,0.24373,11.9,NA,58651.1523,"96_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",2.6786449622,"0.10702","4",NA
100,"Wol",1e+06,50,178,"3",6.14321075757501,0.907000307727198,NA,1,6.25,24540000,NA,8.0723560223,0.61673,7.64,NA,1390627.3212,NA,NA,NA,NA,"ND"
101,"Wol",1e+06,50,178,"3",6.39322094110033,1.34106825630778,NA,2,6.5,43640000,NA,21.9314959672,1.99067,9.08,NA,2472981.9192,NA,NA,NA,NA,"ND"
102,"Wol",1e+06,50,178,"3",6.49322485426857,1.17117486530354,NA,3,6.6,54940000,NA,14.8311512974,2.55389,17.22,NA,3113327.8332,NA,NA,NA,NA,"ND"
106,"Wol",1e+06,50,192,"3",3.49322485426857,-1.38065906057675,0.45755871250537,1,3.6,54940,NA,0.0416237246,0.00529,12.71,NA,3113.3278332,"106_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",2.8678650576,"0.47176","16.45",NA
107,"Wol",1e+06,50,192,"3",7.58289725548342,0.974593817956771,NA,2,7.6897,675400000,NA,9.4317833845,0.23329,2.47,NA,38273418.612,NA,NA,NA,NA,"ND"
108,"Wol",1e+06,50,192,"3",7.39322094110033,0.599115189777242,-0.0758932563878172,3,7.5,436400000,NA,3.9729691225,0.49135,12.37,NA,24729819.192,"108_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv",0.8396663396,"0.11645","13.87",NA
112,"Wol",1e+06,50,202,"4",5.49322485426857,0.0644041347200081,0.210681525949457,1,5.6,5494000,NA,1.1598561636,0.04431,3.82,NA,311332.78332,"112_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv",1.6243571557,"0.17273","10.63",NA
113,"Wol",1e+06,50,202,"4",7.04846328443622,0.891217300362562,0.758231661074596,2,7.1552,197300000,NA,7.7842594104,0.29736,3.82,NA,11180552.994,"113_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",5.7310165297,"0.45796","7.99",NA
114,"Wol",1e+06,50,202,"4",3.64319792044221,-1.39115756767224,NA,3,3.75,77600,NA,0.0406295893,0.00237,5.82,NA,4397.419728,NA,NA,NA,NA,"M"
118,"Wol",1e+06,50,216,"4",6.49322485426857,1.89428579693368,NA,1,6.6,54940000,NA,78.3945365362,8.99959,11.48,NA,3113327.8332,NA,NA,NA,NA,"ND"
119,"Wol",1e+06,50,216,"4",5.49322485426857,-0.597139577212478,0.460745086352189,2,5.6,5494000,NA,0.252848524,0.04131,16.34,NA,311332.78332,"119_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",2.8889836657,"0.09065","3.14",NA
120,"Wol",1e+06,50,216,"4",6.64319792044221,1.17340023758885,0.0997715506601453,3,6.75,77600000,NA,14.907342774,0.94301,6.33,NA,4397419.728,"120_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv",1.2582633609,"0.16096","12.79",NA
124,"Wol",1e+06,50,226,"4",7.04846328443622,0.324696545715374,0.186807360746298,1,7.1552,197300000,NA,2.1120127989,0.08068,3.82,NA,11180552.994,"124_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",1.537472515,"0.06143","4",NA
125,"Wol",1e+06,50,226,"4",7.49322485426857,1.22084122416522,NA,2,7.6,549400000,NA,16.6280462639,2.05646,12.37,NA,31133278.332,NA,NA,NA,NA,"ND"
126,"Wol",1e+06,50,226,"4",4.89321528558526,-0.731666035135406,NA,3,5,1380000,NA,0.1854957505,0.01065,5.74,NA,78201.5364,NA,NA,NA,NA,"M"
130,"Wol",1e+06,50,240,"4",7.89321528558526,1.08573543198904,NA,1,8,1.38e+09,NA,12.1824722836,0.46537,3.82,NA,78201536.4,NA,NA,NA,NA,"ND"
131,"Wol",1e+06,50,240,"4",NA,-2.39628897757058,NA,2,NA,NA,"ND",0.0040152355,0.00073,18.15,NA,NA,NA,NA,NA,NA,"M"
132,"Wol",1e+06,50,240,"4",7.29316475756192,1.00698285173569,-0.824768789464903,3,7.4,346600000,NA,10.1620856674,0.50271,4.95,NA,19641052.548,"132_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv",0.1497032437,"0.01457","9.73",NA
136,"Wol",1e+06,50,250,"4",7.04846328443622,1.65539654245732,NA,1,7.1552,197300000,NA,45.2268710139,1.31659,2.91,NA,11180552.994,NA,NA,NA,NA,"ND"
137,"Wol",1e+06,50,250,"4",7.2568545119081,0.300651139291439,0.338899679991651,2,7.3636,318800000,NA,1.9982560627,0.18847,9.43,NA,18065688.264,"137_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",2.1822257696,"0.1472","6.75",NA
138,"Wol",1e+06,50,250,"4",8.04846328443622,0.691831546540266,0.342967447301637,3,8.1552,1.973e+09,NA,4.9184872117,0.24332,4.95,NA,111805529.94,"138_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",2.2027613481,"0.08801","4",NA
142,"Wol",1e+06,50,264,"4",6.49322485426857,1.8135515292476,NA,1,6.6,54940000,NA,65.095584248,5.68495,8.73,NA,3113327.8332,NA,NA,NA,NA,"ND"
143,"Wol",1e+06,50,264,"4",7.14321075757501,1.4550145768204,-0.0127316114992753,2,7.25,245400000,NA,28.5111396174,0.70522,2.47,NA,13906273.212,"143_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv",0.9711099155,"0.13262","13.66",NA
144,"Wol",1e+06,50,264,"4",4.52960141745213,-0.976592316682558,0.664653503308337,3,4.6364,597400,NA,0.1055377141,0.01059,10.04,NA,33853.331772,"144_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",4.6201226332,"0.27065","5.86",NA
145,"Wol",1e+06,50,288,"5",6.39322094110033,1.1591115479456,NA,1,6.5,43640000,NA,14.4248580446,1.14981,7.97,NA,2472981.9192,NA,NA,NA,NA,"ND"
146,"Wol",1e+06,50,288,"5",6.49322485426857,1.00252137096565,0.328049048896438,2,6.6,54940000,NA,10.0582255677,0.74636,7.42,NA,3113327.8332,"146_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",2.12837941,"0.06678","3.14",NA
147,"Wol",1e+06,50,288,"5",6.29316475756192,1.37535774923275,NA,3,6.4,34660000,NA,23.7332792491,2.93519,12.37,NA,1964105.2548,NA,NA,NA,NA,"ND"
148,"Wol",1e+06,50,312,"5",6.89321528558526,1.55599333264189,-0.186501554239884,1,7,1.38e+08,NA,35.9743812269,6.1108,16.99,NA,7820153.64,"148_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",0.6508762815,"0.0949","14.58",NA
149,"Wol",1e+06,50,312,"5",2.64319792044221,-3.36672479795637,0.49854781780328,2,2.75,7760,NA,0.0004298087,2e-05,4.95,NA,439.7419728,"149_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv",3.15172138,"0.51846","16.45",NA
150,"Wol",1e+06,50,312,"5",6.49322485426857,0.737940671961974,NA,3,6.6,54940000,NA,5.4694124132,0.74763,13.67,NA,3113327.8332,NA,NA,NA,NA,"ND"
151,"Wol",1e+06,50,336,"5",6.29316475756192,0.79643802789012,NA,1,6.4,34660000,NA,6.2580355785,0.39587,6.33,NA,1964105.2548,NA,NA,NA,NA,"ND"
