"Sample","Time","Line","Titre","Replicate","TCID","IU_mL","MNE","SE_MNE","SE_Percent","Fly_Line","Initial_V","IU_fly","log_IU_fly","log_MNE","Wolbacia_batch","Wolbachia_sample_order","Repeat","Progress_manual","Check_Angelique","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Take_off_rpl","Amplification_rpl","Second_Der_Max_rpl","Rep_Take_off_rpl","Std_dev_rpl","Tech_Rep_rpl","Take_off_WOL","Amplification_WOL","Second_Der_Max_WOL","Rep_Take_off_WOL","Std_dev_WOL","Tech_Rep_WOL","Filter_Reason","Quality_Control"
6,0,"Wol",50,3,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",NA,"Pilot","NON-DETECT","Incomplete",NA,"6_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv","0.6664527445","0.02663","4",21.9,1.69,26.3,22,0.1,2,18,1.71,22.1,18,0.1,2,NA,"PASS"
10,6,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",NA,"Pilot","NON-DETECT","Incomplete",NA,"10_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv","0.9394389119","0.12674","13.49",22.3,1.68,26.9,22.2,0.1,1,17.4,1.65,21.3,17.6,0.3,1,NA,"PASS"
10,6,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",NA,"Pilot","NON-DETECT","Incomplete",NA,"10_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv","0.9394389119","0.12674","13.49",22.1,1.82,26.6,22.2,0.1,2,17.8,1.76,21.8,17.6,0.3,2,NA,"PASS"
118,216,"Wol",50,1,"6.6","54940000","78.394536540000004","8.9995899999999995","11.48","Wol",50,"3113327.8330000001","14.95120275","4.3617542379999996",1,"1",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,106,"Wol",50,3,"5.625","5819000","6.2232997999999998E-2","2.3800000000000002E-3","3.82","Wol",50,"329749.81180000002","12.706089499999999","-2.7768699020000001",1,"2",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,48,"Wol",50,3,"3.875","103500","8.1708279999999994E-2","1.034E-2","12.65","Wol",50,"5865.1152300000003","8.6767774079999995","-2.5045999330000002",1,"3",NA,"Incomplete",NA,"36_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2733893917","0.23973","18.83",21.8,1.76,26.1,21.8,0,1,17.1,1.58,22.3,16.8,0.4,1,NA,"PASS"
36,48,"Wol",50,3,"3.875","103500","8.1708279999999994E-2","1.034E-2","12.65","Wol",50,"5865.1152300000003","8.6767774079999995","-2.5045999330000002",1,"3",NA,"Incomplete",NA,"36_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2733893917","0.23973","18.83",21.8,1.64,26.6,21.8,0,2,16.5,1.77,20.8,16.8,0.4,2,NA,"PASS"
16,10,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",1,"4","NON-DETECT","Incomplete",NA,"16_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","2.1524697085","0.10648","4.95",22,1.69,26.4,22.1,0.1,1,16.2,1.81,20.6,16.2,0,1,NA,"PASS"
16,10,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",1,"4","NON-DETECT","Incomplete",NA,"16_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","2.1524697085","0.10648","4.95",22.2,1.63,26.9,22.1,0.1,2,16.2,1.85,20.1,16.2,0,2,NA,"PASS"
132,240,"Wol",50,3,"7.4","346600000","10.16208567","0.50270999999999999","4.95","Wol",50,"19641052.550000001","16.793132450000002","2.3186637029999999",1,"5",NA,"Incomplete",NA,"132_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","0.1497032437","0.01457","9.73",27.1,1.63,31.4,27.1,0.1,1,24.5,1.84,28.1,24.4,0.2,1,NA,"PASS"
132,240,"Wol",50,3,"7.4","346600000","10.16208567","0.50270999999999999","4.95","Wol",50,"19641052.550000001","16.793132450000002","2.3186637029999999",1,"5",NA,"Incomplete",NA,"132_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","0.1497032437","0.01457","9.73",27,1.65,31.6,27.1,0.1,2,24.2,1.73,28.1,24.4,0.2,2,NA,"PASS"
84,144,"Wol",50,3,"2.6","5494","1.3641584999999999E-2","1.0399999999999999E-3","7.64","Wol",50,"311.33278330000002","5.7408623829999996","-4.2946324090000001",1,"6",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,312,"Wol",50,3,"6.6","54940000","5.4694124129999997","0.74763000000000002","13.67","Wol",50,"3113327.8330000001","14.95120275","1.699171191",1,"7",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,58,"Wol",50,1,"NA","NA","1.5957191999999999E-2","1.8600000000000001E-3","11.64","Wol",50,"NA","NA","-4.1378456740000003",1,"8","NON-DETECT","Incomplete",NA,"40_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.2678552388","0.57431","17.57",22.2,1.66,26.9,22.5,0.4,1,15.7,1.96,19.9,15.9,0.2,1,NA,"PASS"
40,58,"Wol",50,1,"NA","NA","1.5957191999999999E-2","1.8600000000000001E-3","11.64","Wol",50,"NA","NA","-4.1378456740000003",1,"8","NON-DETECT","Incomplete",NA,"40_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.2678552388","0.57431","17.57",22.8,1.61,27.3,22.5,0.4,2,16,1.97,19.4,15.9,0.2,2,NA,"PASS"
120,216,"Wol",50,3,"6.75","77600000","14.90734277","0.94301000000000001","6.33","Wol",50,"4397419.7280000001","15.296528500000001","2.7018538950000002",1,"9",NA,"Incomplete",NA,"120_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2582633609","0.16096","12.79",26.9,1.63,31.6,26.9,0.1,1,21,1.71,24.6,20.8,0.3,1,NA,"PASS"
120,216,"Wol",50,3,"6.75","77600000","14.90734277","0.94301000000000001","6.33","Wol",50,"4397419.7280000001","15.296528500000001","2.7018538950000002",1,"9",NA,"Incomplete",NA,"120_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2582633609","0.16096","12.79",26.8,1.78,31.4,26.9,0.1,2,20.6,1.82,24.3,20.8,0.3,2,NA,"PASS"
149,312,"Wol",50,2,"2.75","7760","4.2980900000000002E-4","2.0000000000000002E-5","4.95","Wol",50,"439.74197279999998","6.0861881289999999","-7.7521703320000004",1,"10",NA,"Incomplete",NA,"149_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.15172138","0.51846","16.45",22.4,1.73,27.3,22.3,0.1,1,15.5,1.68,19.6,15.8,0.4,1,NA,"PASS"
149,312,"Wol",50,2,"2.75","7760","4.2980900000000002E-4","2.0000000000000002E-5","4.95","Wol",50,"439.74197279999998","6.0861881289999999","-7.7521703320000004",1,"10",NA,"Incomplete",NA,"149_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.15172138","0.51846","16.45",22.2,1.77,26.6,22.3,0.1,2,16,1.88,19.9,15.8,0.4,2,NA,"PASS"
76,130,"Wol",50,1,"NA","NA","1.9757590000000001E-3","6.0000000000000002E-5","2.91","Wol",50,"NA","NA","-6.2268027010000004",1,"11","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,408,"Wol",50,2,"6.5","43640000","24.38806713","1.3998600000000001","5.74","Wol",50,"2472981.9190000002","14.720935239999999","3.1940939610000001",1,"12",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,154,"Wol",50,2,"6","13800000","2.4927016919999998","0.23511000000000001","9.43","Wol",50,"782015.36399999994","13.569629669999999","0.91336713899999999",2,"13",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,34,"Wol",50,2,"2.75","7760","5.7770160000000003E-3","4.4000000000000002E-4","7.64","Wol",50,"439.74197279999998","6.0861881289999999","-5.1538680450000003",2,"14",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,154,"Wol",50,1,"NA","NA","3.6795306999999999E-2","3.6900000000000001E-3","10.039999999999999","Wol",50,"NA","NA","-3.302384961",2,"15","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,264,"Wol",50,1,"6.6","54940000","NA","NA","NA","Wol",50,"3113327.8330000001","14.95120275","NA",2,"16",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,360,"Wol",50,2,"6.25","24540000","5.3970701910000001","0","0","Wol",50,"1390627.321","14.14526551","1.685856249",2,"17",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,144,"Wol",50,1,"3.6","54940","1.7337399E-2","1.2899999999999999E-3","7.42","Wol",50,"3113.3278329999998","8.0434474760000008","-4.0548892959999998",2,"18",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,96,"Wol",50,3,"4.5","436400","0.74990810299999999","2.8649999999999998E-2","3.82","Wol",50,"24729.819189999998","10.11576505","-0.28780460899999999",2,"19",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,336,"Wol",50,1,"6.4","34660000","6.2580355790000004","0.39587","6.33","Wol",50,"1964105.2549999999","14.490547360000001","1.8338663310000001",2,"20",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,168,"Wol",50,1,"2.6","5494","1.6639414000000002E-2","4.0999999999999999E-4","2.4700000000000002","Wol",50,"311.33278330000002","5.7408623829999996","-4.0959810550000002",2,"21",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,192,"Wol",50,2,"7.6897000000000002","675400000","9.4317833849999992","0.23329","2.4700000000000002","Wol",50,"38273418.609999999","17.460266180000001","2.244085197",2,"22",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,226,"Wol",50,2,"7.6","549400000","16.628046260000001","2.05646","12.37","Wol",50,"31133278.329999998","17.253787849999998","2.811090804",2,"23",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,250,"Wol",50,1,"7.1551999999999998","197300000","45.226871010000004","1.3165899999999999","2.91","Wol",50,"11180552.99","16.229686489999999","3.8116914020000001",2,"24",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,202,"Wol",50,3,"3.75","77600","4.0629589000000001E-2","2.3700000000000001E-3","5.82","Wol",50,"4397.4197279999998","8.3887732219999993","-3.203258677",3,"25",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,384,"Wol",50,2,"6.75","77600000","5.4247963419999996","0.20723","3.82","Wol",50,"4397419.7280000001","15.296528500000001","1.690980358",3,"26",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,192,"Wol",50,3,"7.5","436400000","3.9729691229999999","0.49135000000000001","12.37","Wol",50,"24729819.190000001","17.02352033","1.3795137049999999",3,"27",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,6,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",3,"28","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,264,"Wol",50,2,"7.25","245400000","28.511139620000002","0.70521999999999996","2.4700000000000002","Wol",50,"13906273.210000001","16.44785061","3.3502948749999999",3,"29",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,178,"Wol",50,3,"6.6","54940000","14.8311513","2.55389","17.22","Wol",50,"3113327.8330000001","14.95120275","2.6967297860000001",3,"30",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,106,"Wol",50,1,"6.5","43640000","1.4255071479999999","8.1820000000000004E-2","5.74","Wol",50,"2472981.9190000002","14.720935239999999","0.35452764399999998",3,"31",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,202,"Wol",50,1,"5.6","5494000","1.159856164","4.4310000000000002E-2","3.82","Wol",50,"311332.78330000001","12.648617659999999","0.14829600100000001",3,"32",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,58,"Wol",50,3,"2.75","7760","3.9395680000000001E-3","4.6999999999999999E-4","11.9","Wol",50,"439.74197279999998","6.0861881289999999","-5.5366841559999997",3,"33",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,168,"Wol",50,2,"7.1551999999999998","197300000","19.880367110000002","0.75943000000000005","3.82","Wol",50,"11180552.99","16.229686489999999","2.9897326670000002",3,"34",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,10,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",3,"35","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,288,"Wol",50,1,"6.5","43640000","14.42485804","1.14981","7.97","Wol",50,"2472981.9190000002","14.720935239999999","2.668952971",3,"36",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,178,"Wol",50,1,"6.25","24540000","8.0723560219999992","0.61673","7.64","Wol",50,"1390627.321","14.14526551","2.0884453879999998",4,"37",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,34,"Wol",50,3,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",4,"38","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,144,"Wol",50,2,"7.5","436400000","8.1587616359999995","0.60541999999999996","7.42","Wol",50,"24729819.190000001","17.02352033","2.0990923970000002",4,"39",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,72,"Wol",50,1,"6.125","18400000","0.27844602099999999","1.6209999999999999E-2","5.82","Wol",50,"1042687.152","13.85731174","-1.2785310590000001",4,"40",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,34,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",4,"41","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,82,"Wol",50,3,"NA","NA","0.16307481500000001","2.2519999999999998E-2","13.81","Wol",50,"NA","NA","-1.8135461960000001",4,"42","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,48,"Wol",50,1,"2.7","6916","3.0851476999999999E-2","3.5400000000000002E-3","11.46","Wol",50,"391.91436650000003","5.9710433629999997","-3.4785706460000001",4,"43",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,72,"Wol",50,3,"5","1380000","0.32875868600000002","9.5700000000000004E-3","2.91","Wol",50,"78201.536399999997","11.267044569999999","-1.1124312759999999",4,"44",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,58,"Wol",50,2,"5.5","4364000","2.5687338070000001","0.43634000000000001","16.989999999999998","Wol",50,"247298.19190000001","12.418350139999999","0.94341309500000003",4,"45",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,384,"Wol",50,1,"6.75","77600000","12.36455812","0.47233000000000003","3.82","Wol",50,"4397419.7280000001","15.296528500000001","2.5148341639999998",4,"46",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,336,"Wol",50,3,"6.4","34660000","5.0138942970000002","0.95765999999999996","19.100000000000001","Wol",50,"1964105.2549999999","14.490547360000001","1.612212918",4,"47",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,240,"Wol",50,1,"8","1380000000","12.182472280000001","0.46537000000000001","3.82","Wol",50,"78201536.400000006","18.174799849999999","2.4999982209999998",4,"48",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,82,"Wol",50,1,"4.6364000000000001","597400","0.162176652","1.2930000000000001E-2","7.97","Wol",50,"33853.331769999997","10.4297927","-1.819069096",5,"49",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,336,"Wol",50,2,"6.5","43640000","2.0058441089999999","4.9610000000000001E-2","2.4700000000000002","Wol",50,"2472981.9190000002","14.720935239999999","0.696064974",5,"50",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,288,"Wol",50,2,"6.6","54940000","10.058225569999999","0.74636000000000002","7.42","Wol",50,"3113327.8330000001","14.95120275","2.3083907639999999",5,"51",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,96,"Wol",50,2,"5.75","7760000","1.8141276609999999","0.28921000000000002","15.94","Wol",50,"439741.97279999999","12.99394341","0.59560472499999995",5,"52",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,360,"Wol",50,1,"7.25","245400000","10.166139019999999","0.25146000000000002","2.4700000000000002","Wol",50,"13906273.210000001","16.44785061","2.3190624940000002",5,"53",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,250,"Wol",50,2,"7.3635999999999999","318800000","1.9982560629999999","0.18847","9.43","Wol",50,"18065688.260000002","16.709525020000001","0.69227483199999995",5,"54",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,216,"Wol",50,2,"5.6","5494000","0.25284852400000002","4.1309999999999999E-2","16.34","Wol",50,"311332.78330000001","12.648617659999999","-1.374964689",5,"55",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,192,"Wol",50,1,"3.6","54940","4.1623725E-2","5.2900000000000004E-3","12.71","Wol",50,"3113.3278329999998","8.0434474760000008","-3.179084971",5,"56",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,96,"Wol",50,1,"5.75","7760000","2.876652183","0.10989","3.82","Wol",50,"439741.97279999999","12.99394341","1.0566271819999999",5,"57",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,130,"Wol",50,3,"7","138000000","4.4848581530000002","0.45014999999999999","10.039999999999999","Wol",50,"7820153.6399999997","15.87221476","1.500706868",5,"58",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,106,"Wol",50,2,"NA","NA","2.104622E-3","2.2000000000000001E-4","10.31","Wol",50,"NA","NA","-6.1636193529999996",5,"59","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,120,"Wol",50,2,"4.5","436400","0.78211541799999995","9.8949999999999996E-2","12.65","Wol",50,"24729.819189999998","10.11576505","-0.24575295699999999",5,"60",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,250,"Wol",50,3,"8.1552000000000007","1970000000","4.9184872119999996","0.24332000000000001","4.95","Wol",50,"111805529.90000001","18.53227158","1.5930010059999999",6,"61",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,226,"Wol",50,1,"7.1551999999999998","197300000","2.1120127989999999","8.0680000000000002E-2","3.82","Wol",50,"11180552.99","16.229686489999999","0.74764142600000005",6,"62",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,"Wol",50,3,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",6,"63","NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,312,"Wol",50,1,"7","138000000","35.974381229999999","6.1108000000000002","16.989999999999998","Wol",50,"7820153.6399999997","15.87221476","3.5828070529999998",6,"64",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,154,"Wol",50,3,"6.25","24540000","6.0647080720000002","1.0673699999999999","17.600000000000001","Wol",50,"1390627.321","14.14526551","1.802486408",6,"65",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,168,"Wol",50,3,"4.875","1035000","2.0474822189999999","0.24373","11.9","Wol",50,"58651.152300000002","10.979362500000001","0.71661085300000005",6,"66",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,48,"Wol",50,2,"2.75","7760","3.8608959999999999E-3","1E-4","2.4700000000000002","Wol",50,"439.74197279999998","6.0861881289999999","-5.5568559720000001",6,"67",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
