"Sample","Time","Line","Titre","Replicate","TCID","IU_mL","MNE","SE_MNE","SE_Percent","Fly_Line","Initial_V","IU_fly","log_IU_fly","log_MNE","Wolbacia_batch","Wolbachia_sample_order","Repeat","Progress_manual","Check_Angelique","...21","...22","...23","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Take_off_rpl","Amplification_rpl","Second_Der_Max_rpl","Rep_Take_off_rpl","Std_dev_rpl","Tech_Rep_rpl","Take_off_WOL","Amplification_WOL","Second_Der_Max_WOL","Rep_Take_off_WOL","Std_dev_WOL","Tech_Rep_WOL","Filter_Reason","Quality_Control"
36,48,"Wol",50,3,"3.875","103500","8.1708279999999994E-2","1.034E-2","12.65","Wol",50,"5865.1152300000003","8.6767774079999995","-2.5045999330000002",1,"3",NA,"Incomplete",NA,NA,NA,NA,"36_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2733893917","0.23973","18.83",21.8,1.76,26.1,21.8,0,1,17.1,1.58,22.3,16.8,0.4,1,NA,"PASS"
36,48,"Wol",50,3,"3.875","103500","8.1708279999999994E-2","1.034E-2","12.65","Wol",50,"5865.1152300000003","8.6767774079999995","-2.5045999330000002",1,"3",NA,"Incomplete",NA,NA,NA,NA,"36_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2733893917","0.23973","18.83",21.8,1.64,26.6,21.8,0,2,16.5,1.77,20.8,16.8,0.4,2,NA,"PASS"
16,10,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",1,"4","NON-DETECT","Incomplete",NA,NA,NA,NA,"16_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","2.1524697085","0.10648","4.95",22,1.69,26.4,22.1,0.1,1,16.2,1.81,20.6,16.2,0,1,NA,"PASS"
16,10,"Wol",50,1,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",1,"4","NON-DETECT","Incomplete",NA,NA,NA,NA,"16_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","2.1524697085","0.10648","4.95",22.2,1.63,26.9,22.1,0.1,2,16.2,1.85,20.1,16.2,0,2,NA,"PASS"
132,240,"Wol",50,3,"7.4","346600000","10.16208567","0.50270999999999999","4.95","Wol",50,"19641052.550000001","16.793132450000002","2.3186637029999999",1,"5",NA,"Incomplete",NA,NA,NA,NA,"132_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","0.1497032437","0.01457","9.73",27.1,1.63,31.4,27.1,0.1,1,24.5,1.84,28.1,24.4,0.2,1,NA,"PASS"
132,240,"Wol",50,3,"7.4","346600000","10.16208567","0.50270999999999999","4.95","Wol",50,"19641052.550000001","16.793132450000002","2.3186637029999999",1,"5",NA,"Incomplete",NA,NA,NA,NA,"132_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","0.1497032437","0.01457","9.73",27,1.65,31.6,27.1,0.1,2,24.2,1.73,28.1,24.4,0.2,2,NA,"PASS"
84,144,"Wol",50,3,"2.6","5494","1.3641584999999999E-2","1.0399999999999999E-3","7.64","Wol",50,"311.33278330000002","5.7408623829999996","-4.2946324090000001",1,"6",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,312,"Wol",50,3,"6.6","54940000","5.4694124129999997","0.74763000000000002","13.67","Wol",50,"3113327.8330000001","14.95120275","1.699171191",1,"7",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,58,"Wol",50,1,"NA","NA","1.5957191999999999E-2","1.8600000000000001E-3","11.64","Wol",50,"NA","NA","-4.1378456740000003",1,"8","TCID NON-DETECT","Incomplete",NA,NA,NA,NA,"40_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.2678552388","0.57431","17.57",22.2,1.66,26.9,22.5,0.4,1,15.7,1.96,19.9,15.9,0.2,1,NA,"PASS"
40,58,"Wol",50,1,"NA","NA","1.5957191999999999E-2","1.8600000000000001E-3","11.64","Wol",50,"NA","NA","-4.1378456740000003",1,"8","TCID NON-DETECT","Incomplete",NA,NA,NA,NA,"40_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.2678552388","0.57431","17.57",22.8,1.61,27.3,22.5,0.4,2,16,1.97,19.4,15.9,0.2,2,NA,"PASS"
120,216,"Wol",50,3,"6.75","77600000","14.90734277","0.94301000000000001","6.33","Wol",50,"4397419.7280000001","15.296528500000001","2.7018538950000002",1,"9",NA,"Incomplete",NA,NA,NA,NA,"120_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2582633609","0.16096","12.79",26.9,1.63,31.6,26.9,0.1,1,21,1.71,24.6,20.8,0.3,1,NA,"PASS"
120,216,"Wol",50,3,"6.75","77600000","14.90734277","0.94301000000000001","6.33","Wol",50,"4397419.7280000001","15.296528500000001","2.7018538950000002",1,"9",NA,"Incomplete",NA,NA,NA,NA,"120_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","1.2582633609","0.16096","12.79",26.8,1.78,31.4,26.9,0.1,2,20.6,1.82,24.3,20.8,0.3,2,NA,"PASS"
149,312,"Wol",50,2,"2.75","7760","4.2980900000000002E-4","2.0000000000000002E-5","4.95","Wol",50,"439.74197279999998","6.0861881289999999","-7.7521703320000004",1,"10",NA,"Incomplete",NA,NA,NA,NA,"149_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.15172138","0.51846","16.45",22.4,1.73,27.3,22.3,0.1,1,15.5,1.68,19.6,15.8,0.4,1,NA,"PASS"
149,312,"Wol",50,2,"2.75","7760","4.2980900000000002E-4","2.0000000000000002E-5","4.95","Wol",50,"439.74197279999998","6.0861881289999999","-7.7521703320000004",1,"10",NA,"Incomplete",NA,NA,NA,NA,"149_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv","3.15172138","0.51846","16.45",22.2,1.77,26.6,22.3,0.1,2,16,1.88,19.9,15.8,0.4,2,NA,"PASS"
76,130,"Wol",50,1,"NA","NA","1.9757590000000001E-3","6.0000000000000002E-5","2.91","Wol",50,"NA","NA","-6.2268027010000004",1,"11","TCID NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,408,"Wol",50,2,"6.5","43640000","24.38806713","1.3998600000000001","5.74","Wol",50,"2472981.9190000002","14.720935239999999","3.1940939610000001",1,"12",NA,"Incomplete",NA,NA,NA,NA,"161_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv","0.84584954","0.06277","7.42",28.1,1.69,32.9,28,0.2,1,22.3,1.83,26.4,22.3,0,1,NA,"PASS"
161,408,"Wol",50,2,"6.5","43640000","24.38806713","1.3998600000000001","5.74","Wol",50,"2472981.9190000002","14.720935239999999","3.1940939610000001",1,"12",NA,"Incomplete",NA,NA,NA,NA,"161_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv","0.84584954","0.06277","7.42",27.8,1.72,32.8,28,0.2,2,22.3,1.8,26.3,22.3,0,2,NA,"PASS"
89,154,"Wol",50,2,"6","13800000","2.4927016919999998","0.23511000000000001","9.43","Wol",50,"782015.36399999994","13.569629669999999","0.91336713899999999",2,"13",NA,"Incomplete",NA,NA,NA,NA,"89_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","1.4080502431","0.13704","9.73",24.4,1.63,29.1,24.4,0.1,1,18.5,1.71,22.6,18.7,0.2,1,NA,"PASS"
89,154,"Wol",50,2,"6","13800000","2.4927016919999998","0.23511000000000001","9.43","Wol",50,"782015.36399999994","13.569629669999999","0.91336713899999999",2,"13",NA,"Incomplete",NA,NA,NA,NA,"89_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","1.4080502431","0.13704","9.73",24.3,1.66,28.8,24.4,0.1,2,18.8,1.68,22.4,18.7,0.2,2,NA,"PASS"
29,34,"Wol",50,2,"2.75","7760","5.7770160000000003E-3","4.4000000000000002E-4","7.64","Wol",50,"439.74197279999998","6.0861881289999999","-5.1538680450000003",2,"14",NA,"Incomplete",NA,NA,NA,NA,"29_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","3.904327678","0.56926","14.58",22.9,1.68,27.3,23.1,0.2,1,15.8,1.65,20.1,16,0.3,1,NA,"PASS"
29,34,"Wol",50,2,"2.75","7760","5.7770160000000003E-3","4.4000000000000002E-4","7.64","Wol",50,"439.74197279999998","6.0861881289999999","-5.1538680450000003",2,"14",NA,"Incomplete",NA,NA,NA,NA,"29_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","3.904327678","0.56926","14.58",23.2,1.71,27.4,23.1,0.2,2,16.2,2.03,20.1,16,0.3,2,NA,"PASS"
88,154,"Wol",50,1,"NA","NA","3.6795306999999999E-2","3.6900000000000001E-3","10.039999999999999","Wol",50,"NA","NA","-3.302384961",2,"15","TCID NON-DETECT","Incomplete",NA,NA,NA,NA,"88_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","4.6476832515","0.63471","13.66",23.9,1.66,28.6,24.1,0.3,1,16.4,1.7,20.6,16.6,0.2,1,NA,"PASS"
88,154,"Wol",50,1,"NA","NA","3.6795306999999999E-2","3.6900000000000001E-3","10.039999999999999","Wol",50,"NA","NA","-3.302384961",2,"15","TCID NON-DETECT","Incomplete",NA,NA,NA,NA,"88_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","4.6476832515","0.63471","13.66",24.3,1.74,28.9,24.1,0.3,2,16.7,1.87,20.4,16.6,0.2,2,NA,"PASS"
142,264,"Wol",50,1,"6.6","54940000","NA","NA","NA","Wol",50,"3113327.8330000001","14.95120275","NA",2,"16","qPCR NON-DETECT","Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,360,"Wol",50,2,"6.25","24540000","5.3970701910000001","0","0","Wol",50,"1390627.321","14.14526551","1.685856249",2,"17",NA,"Incomplete",NA,NA,NA,NA,"155_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","4.0046677519","0.7038","17.57",28.7,1.69,33.3,29,0.4,1,20.5,1.7,24.6,20.7,0.2,1,NA,"PASS"
155,360,"Wol",50,2,"6.25","24540000","5.3970701910000001","0","0","Wol",50,"1390627.321","14.14526551","1.685856249",2,"17",NA,"Incomplete",NA,NA,NA,NA,"155_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","4.0046677519","0.7038","17.57",29.3,1.62,33.9,29,0.4,2,20.8,1.74,24.9,20.7,0.2,2,NA,"PASS"
82,144,"Wol",50,1,"3.6","54940","1.7337399E-2","1.2899999999999999E-3","7.42","Wol",50,"3113.3278329999998","8.0434474760000008","-4.0548892959999998",2,"18",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,96,"Wol",50,3,"4.5","436400","0.74990810299999999","2.8649999999999998E-2","3.82","Wol",50,"24729.819189999998","10.11576505","-0.28780460899999999",2,"19",NA,"Incomplete",NA,NA,NA,NA,"60_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","4.3630431282","0.17432","4",22.5,1.63,27.1,22.5,0.1,1,15.4,1.64,19.6,15.4,0.1,1,NA,"PASS"
60,96,"Wol",50,3,"4.5","436400","0.74990810299999999","2.8649999999999998E-2","3.82","Wol",50,"24729.819189999998","10.11576505","-0.28780460899999999",2,"19",NA,"Incomplete",NA,NA,NA,NA,"60_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","4.3630431282","0.17432","4",22.4,1.72,26.9,22.5,0.1,2,15.3,1.79,19.9,15.4,0.1,2,NA,"PASS"
151,336,"Wol",50,1,"6.4","34660000","6.2580355790000004","0.39587","6.33","Wol",50,"1964105.2549999999","14.490547360000001","1.8338663310000001",2,"20",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,168,"Wol",50,1,"2.6","5494","1.6639414000000002E-2","4.0999999999999999E-4","2.4700000000000002","Wol",50,"311.33278330000002","5.7408623829999996","-4.0959810550000002",2,"21",NA,"Incomplete",NA,NA,NA,NA,"94_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","1.9680496294","0.06175","3.14",24.9,1.65,29.4,24.9,0,1,18.6,1.8,22.6,18.6,0.1,1,NA,"PASS"
94,168,"Wol",50,1,"2.6","5494","1.6639414000000002E-2","4.0999999999999999E-4","2.4700000000000002","Wol",50,"311.33278330000002","5.7408623829999996","-4.0959810550000002",2,"21",NA,"Incomplete",NA,NA,NA,NA,"94_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv","1.9680496294","0.06175","3.14",24.9,1.7,29.1,24.9,0,2,18.5,1.8,22.1,18.6,0.1,2,NA,"PASS"
107,192,"Wol",50,2,"7.6897000000000002","675400000","9.4317833849999992","0.23329","2.4700000000000002","Wol",50,"38273418.609999999","17.460266180000001","2.244085197",2,"22",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,226,"Wol",50,2,"7.6","549400000","16.628046260000001","2.05646","12.37","Wol",50,"31133278.329999998","17.253787849999998","2.811090804",2,"23",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,250,"Wol",50,1,"7.1551999999999998","197300000","45.226871010000004","1.3165899999999999","2.91","Wol",50,"11180552.99","16.229686489999999","3.8116914020000001",2,"24",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,202,"Wol",50,3,"3.75","77600","4.0629589000000001E-2","2.3700000000000001E-3","5.82","Wol",50,"4397.4197279999998","8.3887732219999993","-3.203258677",3,"25",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,384,"Wol",50,2,"6.75","77600000","5.4247963419999996","0.20723","3.82","Wol",50,"4397419.7280000001","15.296528500000001","1.690980358",3,"26",NA,"Incomplete",NA,NA,NA,NA,"158_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","1.5551782014","0.0488","3.14",26.2,1.64,30.6,26.2,0,1,20,1.67,24.6,20,0.1,1,NA,"PASS"
158,384,"Wol",50,2,"6.75","77600000","5.4247963419999996","0.20723","3.82","Wol",50,"4397419.7280000001","15.296528500000001","1.690980358",3,"26",NA,"Incomplete",NA,NA,NA,NA,"158_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","1.5551782014","0.0488","3.14",26.2,1.62,30.6,26.2,0,2,19.9,1.67,24.1,20,0.1,2,NA,"PASS"
108,192,"Wol",50,3,"7.5","436400000","3.9729691229999999","0.49135000000000001","12.37","Wol",50,"24729819.190000001","17.02352033","1.3795137049999999",3,"27",NA,"Incomplete",NA,NA,NA,NA,"108_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","0.8396663396","0.11645","13.87",28.7,1.71,33.3,29,0.4,1,23.2,1.73,27.8,23.1,0.1,1,NA,"PASS"
108,192,"Wol",50,3,"7.5","436400000","3.9729691229999999","0.49135000000000001","12.37","Wol",50,"24729819.190000001","17.02352033","1.3795137049999999",3,"27",NA,"Incomplete",NA,NA,NA,NA,"108_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","0.8396663396","0.11645","13.87",29.2,1.7,33.8,29,0.4,2,23,1.68,27.4,23.1,0.1,2,NA,"PASS"
11,6,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",3,"28","NON-DETECT","Incomplete",NA,NA,NA,NA,"11_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","0.9513411017","0.03801","4",23.1,1.62,28.1,23.1,0.1,1,18.2,1.75,22.1,18.3,0.1,1,NA,"PASS"
11,6,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",3,"28","NON-DETECT","Incomplete",NA,NA,NA,NA,"11_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","0.9513411017","0.03801","4",23,1.75,27.6,23.1,0.1,2,18.3,1.76,22.4,18.3,0.1,2,NA,"PASS"
143,264,"Wol",50,2,"7.25","245400000","28.511139620000002","0.70521999999999996","2.4700000000000002","Wol",50,"13906273.210000001","16.44785061","3.3502948749999999",3,"29",NA,"Incomplete",NA,NA,NA,NA,"143_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","0.9711099155","0.13262","13.66",29,1.65,33.8,28.8,0.3,1,22.9,1.61,27.6,22.8,0.2,1,NA,"PASS"
143,264,"Wol",50,2,"7.25","245400000","28.511139620000002","0.70521999999999996","2.4700000000000002","Wol",50,"13906273.210000001","16.44785061","3.3502948749999999",3,"29",NA,"Incomplete",NA,NA,NA,NA,"143_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","0.9711099155","0.13262","13.66",28.6,1.75,33.6,28.8,0.3,2,22.6,1.71,27.1,22.8,0.2,2,NA,"PASS"
102,178,"Wol",50,3,"6.6","54940000","14.8311513","2.55389","17.22","Wol",50,"3113327.8330000001","14.95120275","2.6967297860000001",3,"30",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,106,"Wol",50,1,"6.5","43640000","1.4255071479999999","8.1820000000000004E-2","5.74","Wol",50,"2472981.9190000002","14.720935239999999","0.35452764399999998",3,"31",NA,"Incomplete",NA,NA,NA,NA,"64_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv","5.063326104","0.15887","3.14",24.4,1.69,29.1,24.4,0,1,16.7,1.88,20.6,16.7,0.1,1,NA,"PASS"
64,106,"Wol",50,1,"6.5","43640000","1.4255071479999999","8.1820000000000004E-2","5.74","Wol",50,"2472981.9190000002","14.720935239999999","0.35452764399999998",3,"31",NA,"Incomplete",NA,NA,NA,NA,"64_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv","5.063326104","0.15887","3.14",24.4,1.77,28.9,24.4,0,2,16.6,1.82,20.3,16.7,0.1,2,NA,"PASS"
112,202,"Wol",50,1,"5.6","5494000","1.159856164","4.4310000000000002E-2","3.82","Wol",50,"311332.78330000001","12.648617659999999","0.14829600100000001",3,"32",NA,"Incomplete",NA,NA,NA,NA,"112_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","1.6243571557","0.17273","10.63",25.5,1.69,30.4,25.4,0.1,1,19.1,1.69,23.8,19.3,0.2,1,NA,"PASS"
112,202,"Wol",50,1,"5.6","5494000","1.159856164","4.4310000000000002E-2","3.82","Wol",50,"311332.78330000001","12.648617659999999","0.14829600100000001",3,"32",NA,"Incomplete",NA,NA,NA,NA,"112_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","1.6243571557","0.17273","10.63",25.3,1.63,29.9,25.4,0.1,2,19.4,1.79,23.6,19.3,0.2,2,NA,"PASS"
42,58,"Wol",50,3,"2.75","7760","3.9395680000000001E-3","4.6999999999999999E-4","11.9","Wol",50,"439.74197279999998","6.0861881289999999","-5.5366841559999997",3,"33",NA,"Incomplete",NA,NA,NA,NA,"42_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","4.7673868276","0.23584","4.95",23.3,1.65,28.1,23.2,0.1,1,15.8,1.73,20.1,15.8,0,1,NA,"PASS"
42,58,"Wol",50,3,"2.75","7760","3.9395680000000001E-3","4.6999999999999999E-4","11.9","Wol",50,"439.74197279999998","6.0861881289999999","-5.5366841559999997",3,"33",NA,"Incomplete",NA,NA,NA,NA,"42_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","4.7673868276","0.23584","4.95",23.1,1.66,27.4,23.2,0.1,2,15.8,1.69,19.9,15.8,0,2,NA,"PASS"
95,168,"Wol",50,2,"7.1551999999999998","197300000","19.880367110000002","0.75943000000000005","3.82","Wol",50,"11180552.99","16.229686489999999","2.9897326670000002",3,"34",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,10,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",3,"35","NON-DETECT","Incomplete",NA,NA,NA,NA,"17_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","2.6823689248","0.21611","8.06",23.6,1.7,28.1,23.8,0.2,1,17.2,1.82,21.1,17.2,0.1,1,NA,"PASS"
17,10,"Wol",50,2,"NA","NA","NA","NA","NA","Wol",50,"NA","NA","NA",3,"35","NON-DETECT","Incomplete",NA,NA,NA,NA,"17_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","2.6823689248","0.21611","8.06",23.9,1.66,28.4,23.8,0.2,2,17.1,1.78,21.3,17.2,0.1,2,NA,"PASS"
145,288,"Wol",50,1,"6.5","43640000","14.42485804","1.14981","7.97","Wol",50,"2472981.9190000002","14.720935239999999","2.668952971",3,"36",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,178,"Wol",50,1,"6.25","24540000","8.0723560219999992","0.61673","7.64","Wol",50,"1390627.321","14.14526551","2.0884453879999998",4,"37",NA,"Incomplete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,144,"Wol",50,2,"7.5","436400000","8.1587616359999995","0.60541999999999996","7.42","Wol",50,"24729819.190000001","17.02352033","2.0990923970000002",4,"39",NA,"Incomplete",NA,NA,NA,NA,"83_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","2.1362015991","0.33514","15.69",25.7,1.7,30.3,25.7,0,1,19.3,1.8,23.1,19.1,0.4,1,NA,"PASS"
83,144,"Wol",50,2,"7.5","436400000","8.1587616359999995","0.60541999999999996","7.42","Wol",50,"24729819.190000001","17.02352033","2.0990923970000002",4,"39",NA,"Incomplete",NA,NA,NA,NA,"83_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","2.1362015991","0.33514","15.69",25.7,1.67,30.1,25.7,0,2,18.8,1.77,22.6,19.1,0.4,2,NA,"PASS"
