"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","230904_MA_Wolbachia_Density_Batch3_b1p18T.rex"
"Date","9/4/2023"
"Time","11:04:11 AM"

"Operator","Tom D"
"Run Id",""
"Notes",""
"Machine Serial No","0417101"

"Channel","Gain"
"Green","5"
"Yellow","5"

"Channel","Threshold"
"Melt A.Green (Page 1)","0"
"Cycling A.Green (Page 1)",""
"Cycling A.Green (Page 1)",""

"Melt analysis of Melt A.Green (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7","Peak 8","Peak 9","Peak 10"
"58","95-WOL","25.1","1.23","29.40","","",
"59","17-WOL","16.0","1.22","19.30","16.0","0.1",
"60","17-WOL","15.9","1.18","19.40","","",
"61","145-WOL","21.8","1.20","25.60","22.0","0.2",
"62","145-WOL","22.1","0.99","25.80","","",



"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (copies/reaction)","Calc Conc (copies/reaction)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","16581159","158-rpl32","Unknown","","","","","","","","","",""
"2","16581159","158-rpl32","Unknown","","","","","","","","","",""
"3","16581159","108-rpl32","Unknown","","","","","","","","","",""
"4","16581159","108-rpl32","Unknown","","","","","","","","","",""
"5","16581159","11-rpl32","Unknown","","","","","","","","","",""
"6","16581159","11-rpl32","Unknown","","","","","","","","","",""
"7","16581159","143-rpl32","Unknown","","","","","","","","","",""
"8","16581159","143-rpl32","Unknown","","","","","","","","","",""
"9","16581159","102-rpl32","Unknown","","","","","","","","","",""
"10","16581159","102-rpl32","Unknown","","","","","","","","","",""
"11","16581159","64-rpl32","Unknown","","","","","","","","","",""
"12","16581159","64-rpl32","Unknown","","","","","","","","","",""
"13","16581159","112-rpl32","Unknown","","","","","","","","","",""
"14","16581159","112-rpl32","Unknown","","","","","","","","","",""
"15","16581159","42-rpl32","Unknown","","","","","","","","","",""
"16","16581159","42-rpl32","Unknown","","","","","","","","","",""
"17","16581159","95-rpl32","Unknown","","","","","","","","","",""
"18","16581159","95-rpl32","Unknown","","","","","","","","","",""
"19","16581159","17-rpl32","Unknown","","","","","","","","","",""
"20","16581159","17-rpl32","Unknown","","","","","","","","","",""
"21","16581159","145-rpl32","Unknown","","","","","","","","","",""
"22","16581159","145-rpl32","Unknown","","","","","","","","","",""
"33","16581159","POS-rpl32","Unknown","","","","","","","","","",""
"34","16581159","POS-rpl32","Unknown","","","","","","","","","",""
"35","16581159","NTC-rpl32","Unknown","","","","","","","","","",""
"36","16581159","NTC-rpl32","Unknown","","","","","","","","","",""
"37","255","POS-WOL","Unknown","","","","","","","","","",""
"38","255","POS-WOL","Unknown","","","","","","","","","",""
"39","255","NTC-WOL","Unknown","","","","","","","","","",""
"40","255","NTC-WOL","Unknown","","","","","","","","","",""
"41","255","158-WOL","Unknown","","","","","","","","","",""
"42","255","158-WOL","Unknown","","","","","","","","","",""
"43","255","108-WOL","Unknown","","","","","","","","","",""
"44","255","108-WOL","Unknown","","","","","","","","","",""
"45","255","11-WOL","Unknown","","","","","","","","","",""
"46","255","11-WOL","Unknown","","","","","","","","","",""
"47","255","143-WOL","Unknown","","","","","","","","","",""
"48","255","143-WOL","Unknown","","","","","","","","","",""
"49","255","102-WOL","Unknown","","","","","","","","","",""
"50","255","102-WOL","Unknown","","","","","","","","","",""
"51","255","64-WOL","Unknown","","","","","","","","","",""
"52","255","64-WOL","Unknown","","","","","","","","","",""
"53","255","112-WOL","Unknown","","","","","","","","","",""
"54","255","112-WOL","Unknown","","","","","","","","","",""
"55","255","42-WOL","Unknown","","","","","","","","","",""
"56","255","42-WOL","Unknown","","","","","","","","","",""
"57","255","95-WOL","Unknown","","","","","","","","","",""
"58","255","95-WOL","Unknown","","","","","","","","","",""
"59","255","17-WOL","Unknown","","","","","","","","","",""
"60","255","17-WOL","Unknown","","","","","","","","","",""
"61","255","145-WOL","Unknown","","","","","","","","","",""
"62","255","145-WOL","Unknown","","","","","","","","","",""



